ID,Phase,Scene,Item,Type,Pool / Source,Owner,Priority,Prompt / Spec,Interactivity & scripts,Depends on,Status,Notes
T001,0-Decision,—,RESOLVED — Entry scene: S1 Hangar (chronological),decision,—,Jeff,P0,,,,DONE,Blocks defaultSceneId + demo script. Confirmed 2026-07-19.
T002,0-Decision,—,"RESOLVED — Cats: Pumpkin (orange tabby), Pepper (gray tabby), Poppy (marbled orange/gray/white tabby); photos in planning/reference/cats/",decision,—,Jeff,P0,,,,DONE,"Was blocking 3 Tripo cat props — now unblocked. Cast: Pepper sleeps in S1, Poppy watches the S2 screen, Pumpkin is the S3 hologram."
T003,0-Decision,—,"RESOLVED — S5 projector-wall reveal image: Even Realities G2/R1 portrait (Louvre pyramid selfie, cropped to remove logo/text/product inset), reconstructed via bit-plane decomposition, click opens youtu.be/sEDTmvGg-QY",decision,—,Jeff,P0,,,,DONE,Jeff's design upgrade over the original procedural-noise plan — see TECH_SPEC.md §F. AWAITING: source image file on disk (not yet saved from chat) to run the actual bake script.
T004,0-Decision,—,RESOLVED — Proxie yelp comedy beat APPROVED,decision,—,Jeff,P0,,,,DONE,"Confirmed 2026-07-19: 'I love that comedy beat! definitely implement it' — build as speced, no mannequin-arm fallback needed."
T005,0-Decision,—,NDA pass on all S5 placard texts (drafted from public site only),decision,—,Jeff,P0,,,,NEEDS JEFF,See WORLD_DESIGNS S5(f).
T006,0-Decision,—,"Drop reference photos in reference/ folders: data glove, Vive, G1 glasses, RNLAF era, Prez captures",decision,—,Jeff,P0,,,,NEEDS JEFF,Each strong photo converts a risky text-only generation into image-led.
T007,0-Decision,—,Bless S4 as a Mint world generation (Path A) vs Marble (Path B)?,decision,—,Jeff,P0,,,,NEEDS JEFF,Path A saves a Marble credit; pre-viz decides.
T008,0-Decision,—,Check Coupons & Credits Notion subpage before first token spend,decision,—,Jeff,P0,,,,NEEDS JEFF,Per NEXT_STEPS — may add free credits.
T009,1-Previz,S4,Construct pre-viz,image,Mint,World Builder,P0,"Inside a stylized VR creative workspace: infinite glowing wireframe grid floor in a deep teal void, floating half-sculpted translucent 3D shapes and glowing spline ribbons, soft aurora above, cyan and white with magenta accents, dreamlike, clean, first-person eye-level.",,Phase 0 sign-off,REVIEW,"Highest style risk — MANDATORY before any S4 world spend. 2 iterations max, then commit to world gen."
T010,1-Previz,S5,Lightworks pre-viz,image,Mint,World Builder,P0,"Dark data center aisle, long rows of black server racks with emerald green LED points, hazy cold blue light, one rack under a warm spotlight with a pulled-out server sled, large blank white projection wall at the far end, small warm-lit alcove near the viewer, cinematic, photoreal, eye-level.",,Phase 0 sign-off,REVIEW,"Darkness risk for splats. 2 iterations max, then commit to world gen."
